Recommendation,ID,Name,Age,Nationality,Club,Position,Value,Mean metric rank,Cosine rank,Euclidean rank,Manhattan rank,Pearson rank,PC1,PC2,2D PCA distance
1,231747,K. Mbappé,19.0,France,Paris Saint-Germain,RM,81000000.0,4.25,1,11,3,2,5.629071648562584,-3.0686257639252155,0.7761507801946992
2,222492,L. Sané,22.0,Germany,Manchester City,LW,61000000.0,6.25,5,4,5,11,4.550897021692432,-2.8901076795757654,1.167148679700171
3,189242,Coutinho,26.0,Brazil,FC Barcelona,LW,69500000.0,7.5,12,1,4,13,5.0784467236346424,-1.9772838541243174,0.5737110561027993
4,220834,Marco Asensio,22.0,Spain,Real Madrid,RW,54000000.0,11.0,2,20,15,7,4.241170265156466,-2.343841631030887,1.3152055497970554
5,198710,J. Rodríguez,26.0,Colombia,FC Bayern München,LAM,69500000.0,11.25,20,3,1,21,4.583107163506394,-1.799089923627291,1.091991457211797
